banned_pass,filename,nb_lines,nb_loops,execution_time,total_measured_time,Intermediate2,Intermediate2-pc,CleanupFS,CleanupFS-pc,RemoveCP,RemoveCP-pc,Final,Final-pc,done,done-pc,Finalpost,Finalpost-pc,Intermediate2post,Intermediate2post-pc,Initialpost,Initialpost-pc,Speculationpost,Speculationpost-pc,Speculation,Speculation-pc,Initial,Initial-pc,TypefeedbackCleanup,TypefeedbackCleanup-pc,CleanupFramestate,CleanupFramestate-pc,InlineForcePromises,InlineForcePromises-pc,DotDotDots,DotDotDots-pc,MatchCallArgs,MatchCallArgs-pc,DelayEnv,DelayEnv-pc,CleanupCheckpoints,CleanupCheckpoints-pc,verification,verification-pc,LoopInvariant,LoopInvariant-pc,EagerCalls,EagerCalls-pc,HoistInstruction,HoistInstruction-pc,Inline,Inline-pc,LoadElision,LoadElision-pc,Overflow,Overflow-pc,OptimizeContexts,OptimizeContexts-pc,ElideEnv,ElideEnv-pc,TypeInference,TypeInference-pc,lowering,lowering-pc,OptimizeVisibility,OptimizeVisibility-pc,DelayInstr,DelayInstr-pc,TypeSpeculation,TypeSpeculation-pc,modulecleanup,modulecleanup-pc,ElideEnvSpec,ElideEnvSpec-pc,GVN,GVN-pc,Constantfold,Constantfold-pc,Cleanup,Cleanup-pc,DeadStoreRemoval,DeadStoreRemoval-pc,OptimizeAssumptions,OptimizeAssumptions-pc,pir2llvm,pir2llvm-pc,overal,overal-pc,ScopeResolution,ScopeResolution-pc,ForceDominance,ForceDominance-pc
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//convolution_slow.r,24,3,2.41759490966797,0.221967,6.41e-7,2.8878166574310593e-4,6.58e-7,2.9644046187045825e-4,6.64e-7,2.991435663859943e-4,7.14e-7,3.216694373487951e-4,8.46e-7,3.8113773669058915e-4,8.75e-7,3.942027418490136e-4,9.29e-7,4.1853068248883847e-4,9.5e-7,4.279915482932147e-4,9.62e-7,4.33397757324287e-4,1.368e-6,6.163078295422293e-4,2.052e-6,9.244617443133439e-4,1.13e-5,0.0050908468375929754,2.1216e-5,0.009558177566935626,1.242e-4,0.05595426347159713,1.35364e-4,0.06098383994017128,1.73868e-4,0.07833056265120492,1.8319e-4,0.0825302860335095,2.40712e-4,0.108444949023954,2.71865e-4,0.12247991818603665,5.11383e-4,0.23038694941139903,7.34296e-4,0.3308131388900152,9.00466e-4,0.4056756184477873,0.00106858,0.48141390386859306,0.00109651,0.4939968553884136,0.00157399,0.7091099127347759,0.00182941,0.8241810719611473,0.00205415,0.9254303567647443,0.00213854,0.9634495217757595,0.00253216,1.1407821883433122,0.00259556,1.1693449927241437,0.00351108,1.581802700401411,0.00414847,1.8689579982610025,0.0052276,2.355124860902747,0.00581239,2.618582942509472,0.0074407,3.3521649614582345,0.00752499,3.390139074727324,0.0139646,6.291295552942556,0.019455,8.764816391625782,0.0255281,11.500853730509492,0.0327131,14.737821387863963,0.0366256,16.500470790703123,0.0418085,18.835457522965125,NA,NA
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//convolution_v.r,20,1,3.20824337005615,0.361177,7.66e-7,2.1208437968087666e-4,8.06e-7,2.2315928201408172e-4,8.03e-7,2.2232866433909132e-4,1.025e-6,2.8379437228837935e-4,1.013e-6,2.804719015884179e-4,1.1e-6,3.0455981416313885e-4,1.31e-6,3.6270305141246535e-4,1.407e-6,3.895596895704876e-4,1.206e-6,3.3390830534613217e-4,1.614e-6,4.4687230914482363e-4,2.716e-6,7.519858684246227e-4,1.6349e-5,0.004526589456139233,4.5602e-5,0.012625942404970416,2.11292e-4,0.05850095659468902,2.62133e-4,0.07257743433275098,2.77803e-4,0.07691602732178406,2.96747e-4,0.08216110106678996,4.68602e-4,0.1297430345786138,4.16521e-4,0.11532323486822249,6.30574e-4,0.17458863659646098,0.00113264,0.3135969344670341,0.00159685,0.44212394476946204,0.00247265,0.6846089313549866,0.00174833,0.4840645999053096,0.00272219,0.7536997095606863,0.00364484,1.009156175503977,0.00369021,1.0217178834754153,0.00349559,0.9678329461732058,0.00625939,1.7330533228860086,0.0048002,1.3290436544962718,0.00575773,1.5941574352741177,0.00562483,1.5573610722720437,0.00859402,2.3794483037402716,0.00679431,1.8811579917879597,0.0140833,3.8992793007306665,0.012924,3.5783009438585514,0.023832,6.598426810123567,0.0556138,15.397935084459972,0.035632,9.865522998419056,0.0467881,12.954340946405779,0.0546322,15.12615698120312,0.056698,15.698120312201494,NA,NA
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//convolution.r,23,3,1.93766832351685,0.198132,2.72e-7,1.3728221589647305e-4,3.05e-7,1.5393777885450104e-4,2.82e-7,1.4232935618678456e-4,3.36e-7,1.695839137544667e-4,4.32e-7,2.180364605414572e-4,5.51e-7,2.7809742999616415e-4,5.2e-7,2.624512950961985e-4,3.63e-7,1.832111925383078e-4,5.38e-7,2.715361476187592e-4,6.96e-7,3.5128096420568105e-4,9.93e-7,5.011810308279329e-4,5.553e-6,0.0028026770032099813,1.6622e-5,0.008389356590555792,1.11338e-4,0.05619385056427029,1.20105e-4,0.06061867845678639,1.15924e-4,0.05850846910140714,1.32472e-4,0.06686047685381463,1.9892e-4,0.10039771465487654,2.1831e-4,0.11018411967779054,4.87068e-4,0.2458300526921446,6.63156e-4,0.334704136636182,7.83848e-4,0.39561908222800957,0.00101101,0.5102709304907839,0.00116379,0.5873811398461632,0.00137213,0.6925332606545131,0.00178903,0.9029485393576,0.00177145,0.8940756667272324,0.00391487,1.975889810833182,0.00199981,1.009332162396786,0.00258031,1.3023186562493692,0.00316743,1.5986463569741385,0.00458411,2.313664627621989,0.00445689,2.249454908848646,0.00610422,3.080885470292532,0.00784914,3.961571073829568,0.00880261,4.4428007590899,0.0133263,6.7259705650778265,0.020484,10.338562170674095,0.0277377,13.999606323057357,0.0244083,12.319211434801042,0.0277448,14.003189792663475,0.0310059,15.649112712736962,NA,NA
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//flexclust_no_s4.r,212,9,196.0840280056,14.7443,1.9682e-5,1.3348887366643381e-4,2.0444e-5,1.3865697252497575e-4,2.0594e-5,1.3967431481996432e-4,2.1405e-5,1.4517474549486918e-4,2.1718e-5,1.4729759975041202e-4,2.4512e-5,1.662472955650658e-4,2.8891e-5,1.959469082967655e-4,3.1423e-5,2.131196462361726e-4,3.1226e-5,2.117835366887543e-4,5.6845e-5,3.855388183908358e-4,5.2936e-5,3.590268781834336e-4,0.113267,0.7682087315098037,0.0013764,0.009335132898815136,0.00619397,0.042009251032602425,0.00778487,0.05279918341325122,0.00759366,0.05150234327841945,0.0081222,0.05508705058904119,0.0131874,0.08944066520621528,0.0127844,0.08670740557367931,0.0192731,0.13071559857029497,0.0320969,0.21769022605345792,0.0410943,0.2787131298196591,0.0751257,0.5095236803374864,0.052321,0.35485577477398045,0.0700785,0.4752921467957109,0.0961516,0.652127262738821,0.0991941,0.6727623556221726,0.120676,0.8184586586002727,0.254098,1.7233642831467073,0.156427,1.0609320211878488,0.140538,0.9531683430206926,0.184839,1.2536302164226176,0.32365,2.1950855584870084,0.252148,1.710138833311856,0.376583,2.5540920898245423,0.4289,2.908920735470656,0.664941,4.50981735314664,1.64102,11.129860352814307,1.29821,8.804826271847425,1.35097,9.162659468404739,4.53353,30.747678763996934,2.36178,16.01825790305406,NA,NA
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//flexclust_strict.r,538,19,323.611529111862,33.168,6.5002e-5,1.9597805113362275e-4,6.4917e-5,1.9572178002894356e-4,6.8482e-5,2.0647009165460683e-4,7.6435e-5,2.304480221900627e-4,7.0819e-5,2.1351603955619878e-4,7.7917e-5,2.3491618427399905e-4,9.1226e-5,2.7504220935841773e-4,9.3907e-5,2.8312530149541724e-4,1.09265e-4,3.294289676796913e-4,1.43776e-4,4.334780511336228e-4,1.74828e-4,5.270984081041969e-4,0.13135,0.3960142305836951,0.00388646,0.011717498794018332,0.0170754,0.051481548480463095,0.0210722,0.06353171731789677,0.0230913,0.06961921128798843,0.0229301,0.06913320067534973,0.0382844,0.11542571152918475,0.0324161,0.09773305595754947,0.0459281,0.13847111673902557,0.0858898,0.2589538109020743,0.108773,0.3279456102267245,0.195885,0.5905842981186686,0.125027,0.3769506753497347,0.19663,0.5928304389773276,0.251995,0.7597533767486735,0.271411,0.8182917269657503,0.32066,0.9667752050168837,0.677505,2.0426465267727933,0.403522,1.2166003376748673,0.371099,1.1188464785335264,0.371743,1.120788109020743,0.895283,2.699237216594308,0.445336,1.3426676314520019,0.906818,2.734014712976363,0.896862,2.703997829232996,1.7653,5.322298601061264,4.46947,13.475247226242162,2.47345,7.4573383984563435,3.44782,10.395019295706707,7.73336,23.315726000964787,6.41714,19.3473830197781,NA,NA
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//flexclust.r,512,19,307.574598312378,32.1348,6.432e-5,2.0015683931438812e-4,6.3626e-5,1.9799718685039277e-4,6.5984e-5,2.0533502620212354e-4,7.3613e-5,2.290756438502807e-4,6.921e-5,2.1537398707942792e-4,7.3394e-5,2.2839413968657034e-4,8.5404e-5,2.6576795250009337e-4,8.3019e-5,2.5834609208708314e-4,9.2985e-5,2.8935919937264274e-4,1.34119e-4,4.173637302861695e-4,1.52064e-4,4.732066171253595e-4,0.130428,0.405877740020165,0.00381083,0.011858888183526893,0.0170949,0.053197468165353444,0.0212018,0.06597769396417591,0.0224765,0.06994442162390928,0.0227919,0.07092591209529857,0.0365829,0.1138420030621009,0.0326868,0.10171776391948917,0.0456187,0.1419604291920286,0.084332,0.2624320051781869,0.108683,0.33820966677869474,0.191302,0.59531100240238,0.125578,0.3907850679014651,0.182122,0.5667438415673974,0.245553,0.7641342096418836,0.270123,0.8405933754061018,0.311707,0.9699982573409514,0.661294,2.057874951765687,0.404431,1.258545253121227,0.350138,1.0895913464530667,0.369987,1.1513592740580307,0.936445,2.9141149159167012,0.442768,1.3778458244644436,0.899232,2.7983121102356328,0.892823,2.7783679998008393,1.69874,5.286293986581525,4.36608,13.586765749281154,2.46429,7.6686022629672514,3.24874,10.10972528224853,7.37671,22.955518627780478,6.17005,19.20052404247109,NA,NA
ForceDominance,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//volcano.r,76,6,3013.70165491104,4.64117,2.365e-6,5.0956978520502376e-5,2.255e-6,4.8586886496292964e-5,2.366e-6,5.097852481163154e-5,2.681e-6,5.776560651732214e-5,2.868e-6,6.179476295847815e-5,2.876e-6,6.196713328751156e-5,3.335e-6,7.185688091580356e-5,4.011e-6,8.642217371912687e-5,3.859e-6,8.314713746749203e-5,5.175e-6,1.1150205659348828e-4,6.359e-6,1.3701286529043324e-4,0.0145525,0.3135524016573407,1.4661e-4,0.003158901742448564,9.98174e-4,0.0215069476015746,0.001203,0.025920188228399307,0.00202695,0.043673254804284266,0.00126576,0.027272433459666425,0.00152035,0.032757903718243456,0.00218881,0.04716073748645277,0.00499635,0.10765281168326091,0.00493925,0.10642251845978494,0.00624675,0.13459429411118315,0.0200633,0.43228970281200646,0.0123276,0.26561405852403597,0.0143809,0.30985505809957403,0.0203085,0.43757285339688057,0.0149676,0.32249626710506185,0.0149278,0.32163872471812066,0.0484149,1.0431615303899662,0.0226957,0.48900815958045063,0.034524,0.7438641549436887,0.100373,2.1626658795088307,0.0497217,1.0713182236375742,0.183451,3.9526886539385546,0.0881103,1.8984501752790786,0.172903,3.7254183751080006,0.140786,3.0334161429122397,0.548184,11.81133205635648,0.692031,14.910701396415128,0.469909,10.12479611822019,1.33724,28.812562349579956,0.61573,13.266697836967833,NA,NA
ScopeResolution,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//convolution_slow.r,24,3,2.63090777397156,0.272608,7.71e-7,2.828236882263176e-4,8.39e-7,3.077679305082756e-4,7.76e-7,2.846578236882263e-4,1.658e-6,6.081993191689166e-4,9.37e-7,3.4371698556168563e-4,1.01e-6,3.704953633055523e-4,1.136e-6,4.167155769456509e-4,1.185e-6,4.346901044723559e-4,1.181e-6,4.3322279610282893e-4,1.611e-6,5.909584458269749e-4,2.49e-6,9.133994600305198e-4,1.2926e-5,0.004741606996126305,2.5223e-5,0.0092524797511445,1.86892e-4,0.0685570489494072,1.96153e-4,0.07195423465195445,2.4821e-4,0.09105015260007043,2.32763e-4,0.08538377450404977,3.16624e-4,0.11614626129827445,2.94513e-4,0.1080353474586219,6.63034e-4,0.24321883437023123,8.67269e-4,0.31813776558281487,0.00132093,0.48455291113980514,0.0013906,0.5101097546660406,0.00161068,0.5908410611574128,0.00220364,0.8083548538560864,0.00247849,0.9091772801972061,0.00287159,1.053377010212466,0.00310839,1.1402416656884609,0.00218959,0.803200933208123,0.00359047,1.317081670383848,0.00512458,1.8798347810775913,0.00667687,2.4492568083108344,0.0073515,2.6967293696443244,0.00891517,3.2703258891888716,0.012177,4.466853503932387,0.0106544,3.9083225730719566,0.0209078,7.669547482098837,0.0284476,10.435350393238641,0.0394364,14.466339946003052,0.0359039,13.170523242164572,0.039429,14.463625425519425,NA,NA,0.0337621,12.384852975701374
ScopeResolution,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//convolution_v.r,20,1,3.37097501754761,0.35579,7.91e-7,2.2232215632817114e-4,8.59e-7,2.4143455409089627e-4,8.68e-7,2.4396413614772758e-4,9.48e-7,2.6644930998622786e-4,9.31e-7,2.6167121054554654e-4,1.106e-6,3.1085752831726585e-4,1.257e-6,3.53298293937435e-4,1.255e-6,3.5273616459147254e-4,1.226e-6,3.4458528907501616e-4,1.592e-6,4.4745495938615474e-4,2.559e-6,7.192444981590264e-4,1.4166e-5,0.00398156215745243,4.2054e-5,0.011819893757553613,2.10106e-4,0.05905337418139914,2.61958e-4,0.07362713960482307,8.61928e-4,0.24225751145338542,2.9511e-4,0.08294499564349757,4.28776e-4,0.12051378622220973,4.3354e-4,0.12185277832429242,6.33259e-4,0.1779867337474353,0.00106955,0.3006127209870992,0.0015558,0.4372804182242334,0.00257722,0.7243654965007448,0.00173698,0.48820371567497683,0.00268503,0.7546670788948537,0.00390298,1.0969897973523708,0.00362777,1.0196379887012001,0.00341512,0.9598695859917368,0.00509513,1.4320610472469715,0.00467748,1.3146743865763513,0.0057859,1.6262120914022318,0.0056136,1.5777846482475617,0.00838606,2.3570252115011665,0.00676787,1.9022091683296327,0.0149333,4.197223081030945,0.0124104,3.488125017566542,0.0242382,6.812501756654206,0.0597206,16.78535090924422,0.036988,10.396020124230585,0.0514865,14.471036285449282,0.0581514,16.344304224402034,NA,NA,0.0377708,10.61603755024031
ScopeResolution,/home/pdonatbo/RBenchmarking/Benchmarks/RealThing//convolution.r,23,3,1.7356219291687,0.197927,2.89e-7,1.460134291935916e-4,3.08e-7,1.556129279987066e-4,2.88e-7,1.45508192414375e-4,3.36e-7,1.6975955781677084e-4,3.13e-7,1.581391118947895e-4,4.01e-7,2.025999484658485e-4,4.58e-7,2.3139844488119358e-4,4.58e-7,2.3139844488119358e-4,4.73e-7,2.3897699656944227e-4,7.12e-7,3.597285868022049e-4,1.227e-6,6.199255280987435e-4,5.831e-6,0.0029460356596118773,1.469e-5,0.007421928286691559,1.0912e-4,0.055131437348113196,1.18581e-4,0.05991148251628125,1.12965e-4,0.05707407276420095,1.28713e-4,0.06503054156330365,1.69081e-4,0.08542593986671854,1.84094e-4,0.09301105963309704,4.65509e-4,0.2351922678563309,5.29539e-4,0.2675425788295685,7.2246e-4,0.3650133635128103,9.95273e-4,0.5028485249612231,0.00128797,0.6507298145275784,0.00137566,0.6950340276970802,0.00171715,0.8675673354317501,0.00176403,0.8912528356414234,0.00293081,1.4807530048957442,0.00166282,0.8401178212169134,0.00251453,1.2704330384434666,0.00321427,1.623967422332476,0.00525838,2.656726975096879,0.00431445,2.179818822090973,0.00658185,3.3253926952866464,0.00958147,4.8409110429602835,0.00839163,4.239760113577228,0.0137305,6.937153597033249,0.0204992,10.356949784516512,0.0296441,14.977289606774216,0.0240753,12.163727030672925,0.0270061,13.644474983200878,NA,NA,0.0288155,14.558650411515359
